RESULT_COUNT: 2546,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1,IDENTIFIER: AAPL
DATE,MARKETCAP
2017-02-01,686196738446.0
2017-01-31,667459099350.0
2017-01-30,668999178030.0
2017-01-27,670759267950.0
2017-01-26,670704265140.0
2017-01-25,670209239850.0
2017-01-24,659873111794.8
2017-01-23,660473742480.0
2017-01-20,660033720000.0
2017-01-19,658823658180.0
2017-01-18,659978717190.0
2017-01-17,659896212975.0
2017-01-13,654753450240.0
2017-01-12,655908509250.0
2017-01-11,658658649750.0
2017-01-10,655138469910.0
2017-01-09,654423433380.0
2017-01-06,648538132710.0
2017-01-05,641497773030.0
2017-01-04,638142601620.0
2017-01-03,638362612860.0
2016-12-30,637042545420.0
2016-12-29,642047801130.0
2016-12-28,642212809560.0
2016-12-27,644907947250.0
2016-12-23,640892742120.0
2016-12-22,639242657820.0
2016-12-21,643862893860.0
2016-12-20,643147857330.0
2016-12-19,641525274435.0
2016-12-16,637867587570.0
2016-12-15,637042545420.0
2016-12-14,633632371200.0
2016-12-13,633604869795.0
2016-12-12,623181837300.0
2016-12-09,626757019950.0
2016-12-08,616577099875.2
2016-12-07,610696199430.0
2016-12-06,604590887520.0
2016-12-05,600135659910.0
2016-12-02,604260870660.0
2016-12-01,602088259665.0
2016-11-30,608331078600.0
2016-11-29,612978816045.0
2016-11-28,613666351170.0
2016-11-25,614876412990.0
2016-11-23,611796255630.0
2016-11-22,614931415800.0
2016-11-21,615261432660.0
2016-11-18,605360926860.0
2016-11-17,604755895950.0
2016-11-16,605250921240.0
2016-11-15,589135097910.0
2016-11-14,581599712940.0
2016-11-11,596395468830.0
2016-11-10,591335210310.0
2016-11-09,609871157280.0
2016-11-08,611961264060.0
2016-11-07,607286025210.0
2016-11-04,598650584040.0
2016-11-03,604095862230.0
2016-11-02,613776356790.0
2016-11-01,613116323070.0
2016-10-31,624501904740.0
2016-10-28,625491955320.0
2016-10-27,629837177310.0
2016-10-26,635777480790.0
2016-10-25,647156353250.0
2016-10-24,643758850805.2
2016-10-21,638126264600.0
2016-10-20,640643743860.0
2016-10-19,640972110720.0
2016-10-18,642887584070.0
2016-10-17,643325406550.0
2016-10-14,643763229030.0
2016-10-13,640205921380.0
2016-10-12,642176122540.0
2016-10-11,636758069350.0
2016-10-10,635170962860.0
2016-10-07,624225400860.0
2016-10-06,623295028090.0
2016-10-05,618697892050.0
2016-10-04,618424253000.0
2016-10-03,615797318120.0
2016-09-30,618697892050.0
2016-09-29,613881844770.0
2016-09-28,623623394950.0
2016-09-27,618916803290.0
2016-09-26,617767519280.0
2016-09-23,616837146510.0
2016-09-22,627290158220.0
2016-09-21,621434282550.0
2016-09-20,621543738170.0
2016-09-19,621598465980.0
2016-09-16,628931992520.0
2016-09-15,632489300170.0
2016-09-14,612025477454.8
2016-09-13,591767431305.2
2016-09-12,577050028640.0
2016-09-09,564407904530.0
2016-09-08,577487851120.0
2016-09-07,593144383004.8
2016-09-06,589309058080.0
2016-09-02,589582697130.0
2016-09-01,584109916130.0
2016-08-31,580662064100.0
2016-08-30,580114786000.0
2016-08-29,584602466420.0
2016-08-26,585259200140.0
2016-08-25,588707052170.0
2016-08-24,591224531430.0
2016-08-23,595712211850.0
2016-08-22,593851466310.0
2016-08-19,598503330160.0
2016-08-18,596970951480.0
2016-08-17,597737140820.0
2016-08-16,598667513590.0
2016-08-15,599324247310.0
2016-08-12,592045448580.0
2016-08-11,590677253330.0
2016-08-10,591060348000.0
2016-08-09,595493300610.0
2016-08-08,593085276970.0
2016-08-05,588214501880.0
2016-08-04,579403324470.0
2016-08-03,578965501990.0
2016-08-02,571796158880.0
2016-08-01,580388425050.0
2016-07-29,570318508010.0
2016-07-28,571029969540.0
2016-07-27,563422803950.0
2016-07-26,529053739270.0
2016-07-25,532720502540.0
2016-07-22,539944573460.0
2016-07-21,544158614830.0
2016-07-20,547059188760.0
2016-07-19,546566638470.0
2016-07-18,546347727230.0
2016-07-15,540601307180.0
2016-07-14,540656034990.0
2016-07-13,530148295470.0
2016-07-12,533158325020.0
2016-07-11,530750301380.0
2016-07-08,529108467080.0
2016-07-07,525058609140.0
2016-07-06,522814768930.0
2016-07-05,519859467190.0
2016-07-01,524784970090.0
2016-06-30,523197863600.0
2016-06-29,516630526400.0
2016-06-28,512197573790.0
2016-06-27,503714763240.0
2016-06-24,511157745400.0
2016-06-23,532479144600.0
2016-06-22,529431657300.0
2016-06-21,531426376260.0
2016-06-20,526938258600.0
2016-06-17,528212662380.0
2016-06-16,540513429300.0
2016-06-15,538241666040.0
2016-06-14,540014749560.0
2016-06-13,539349843240.0
2016-06-10,547605763380.0
2016-06-09,552149289900.0
2016-06-08,548215260840.0
2016-06-07,548713940580.0
2016-06-06,546497586180.0
2016-06-03,542563557120.0
2016-06-02,541455379920.0
2016-06-01,545555635560.0
2016-05-31,553312875960.0
2016-05-27,556027910100.0
2016-05-26,556360363260.0
2016-05-25,551983063320.0
2016-05-24,542452739400.0
2016-05-23,534307636980.0
2016-05-20,527603164920.0
2016-05-19,521951461200.0
2016-05-18,523946180160.0
2016-05-17,518017432140.0
2016-05-16,520178377680.0
2016-05-13,501561000720.0
2016-05-12,500563641240.0
2016-05-11,512587363860.0
2016-05-10,517629570120.0
2016-05-09,514138811940.0
2016-05-06,513750949920.0
2016-05-05,516632210640.0
2016-05-04,521896052340.0
2016-05-03,527381529480.0
2016-05-02,518848565040.0
2016-04-29,519402653640.0
2016-04-28,525442219380.0
2016-04-27,542009468520.0
2016-04-26,578191454100.0
2016-04-25,582236300880.0
2016-04-22,585560832480.0
2016-04-21,587167689420.0
2016-04-20,593595117180.0
2016-04-19,592376122260.0
2016-04-18,595534427280.0
2016-04-15,608666327100.0
2016-04-14,621133320600.0
2016-04-13,620800867440.0
2016-04-12,611935449840.0
2016-04-11,604067391720.0
2016-04-08,602072672760.0
2016-04-07,601407766440.0
2016-04-06,614816710560.0
2016-04-05,608444691660.0
2016-04-04,615703252320.0
2016-04-01,609442051140.0
2016-03-31,603901165140.0
2016-03-30,607059470160.0
2016-03-29,596642604480.0
2016-03-28,582845798340.0
2016-03-24,585505423620.0
2016-03-23,593704698510.0
2016-03-22,597005233440.0
2016-03-21,592473990570.0
2016-03-18,592529931840.0
2016-03-17,591858636600.0
2016-03-16,592809638190.0
2016-03-15,585033801660.0
2016-03-14,573509900040.0
2016-03-11,572055427020.0
2016-03-10,565957828590.0
2016-03-09,565678122240.0
2016-03-08,565174650810.0
2016-03-07,569873717490.0
2016-03-04,576251022270.0
2016-03-03,567803890500.0
2016-03-02,563608295250.0
2016-03-01,562377587310.0
2016-02-29,540896139630.0
2016-02-26,542126847570.0
2016-02-25,541287728520.0
2016-02-24,537595604700.0
2016-02-23,529707885630.0
2016-02-22,541959023760.0
2016-02-19,537259957080.0
2016-02-18,538490665020.0
2016-02-17,548895741240.0
2016-02-16,540616433280.0
2016-02-12,525791996730.0
2016-02-11,524169699900.0
2016-02-10,527358352290.0
2016-02-09,531386123730.0
2016-02-08,531498006270.0
2016-02-05,525959820540.0
2016-02-04,540392668200.0
2016-02-03,538994136450.0
2016-02-02,528533118960.0
2016-02-01,539441666610.0
2016-01-29,544532322180.0
2016-01-28,526351409430.0
2016-01-27,522603344340.0
2016-01-26,559356758730.0
2016-01-25,556279988880.0
2016-01-22,567356360340.0
2016-01-21,538714430100.0
2016-01-20,541455552330.0
2016-01-19,540728315820.0
2016-01-15,543357555510.0
2016-01-14,556727519040.0
2016-01-13,544812028530.0
2016-01-12,559188934920.0
2016-01-11,551189333310.0
2016-01-08,542406553920.0
2016-01-07,539553549150.0
2016-01-06,563328588900.0
2016-01-05,574572784170.0
2016-01-04,589341279450.0
2015-12-31,588837808020.0
2015-12-30,600361709640.0
2015-12-29,608305369980.0
2015-12-28,597564646140.0
2015-12-24,604333539810.0
2015-12-23,629185224090.0
2015-12-22,621190788870.0
2015-12-21,621770095770.0
2015-12-18,614239106070.0
2015-12-17,631328659620.0
2015-12-16,645000302460.0
2015-12-15,640076193810.0
2015-12-14,651604401120.0
2015-12-11,655659549420.0
2015-12-10,672980825730.0
2015-12-09,669794637780.0
2015-12-08,684914547870.0
2015-12-07,685204201320.0
2015-12-04,689549003070.0
2015-12-03,667361548800.0
2015-12-02,673618063320.0
2015-12-01,679758716460.0
2015-11-30,685320062700.0
2015-11-27,682481458890.0
2015-11-25,683755934070.0
2015-11-24,688680042720.0
2015-11-23,682133874750.0
2015-11-20,691113131700.0
2015-11-19,688100735820.0
2015-11-18,679469063010.0
2015-11-17,658614014610.0
2015-11-16,661423653075.0
2015-11-13,650793371460.0
2015-11-12,670373944680.0
2015-11-11,672633241590.0
2015-11-10,676456667130.0
2015-11-09,698470329330.0
2015-11-06,701308933140.0
2015-11-05,700497903480.0
2015-11-04,706754418000.0
2015-11-03,710056467330.0
2015-11-02,702004101420.0
2015-10-30,692271745500.0
2015-10-29,698238606570.0
2015-10-28,690939339630.0
2015-10-27,663596053950.0
2015-10-26,667824994320.0
2015-10-23,689838656520.0
2015-10-22,669099469500.0
2015-10-21,659019529440.0
2015-10-20,659077460130.0
2015-10-19,647259599370.0
2015-10-16,643262381760.0
2015-10-15,648012698340.0
2015-10-14,638454134490.0
2015-10-13,647607183510.0
2015-10-12,646506500400.0
2015-10-09,649518896280.0
2015-10-08,634341055500.0
2015-10-07,641756183820.0
2015-10-06,644826510390.0
2015-10-05,641756183820.0
2015-10-02,639438956220.0
2015-10-01,634804501020.0
2015-09-30,636947936550.0
2015-09-29,631792105140.0
2015-09-28,651372678360.0
2015-09-25,664522944990.0
2015-09-24,663906385000.0
2015-09-23,659980677680.0
2015-09-22,654669426600.0
