Date,Open,High,Low,Close,Adj Close,Volume
2015-11-17,112.110001,118.790001,111.699997,117.099998,117.099998,33016300
2015-11-18,117.940002,121.0,116.099998,120.629997,120.629997,23353600
2015-11-19,120.25,123.129997,119.610001,120.220001,120.220001,19253200
2015-11-20,120.849998,124.07,119.209999,123.839996,123.839996,17977000
2015-11-23,124.300003,126.199997,121.660004,125.029999,125.029999,15727000
2015-11-24,123.66999799999999,124.660004,120.029999,123.309998,123.309998,18335300
2015-11-25,124.230003,125.199997,122.360001,124.160004,124.160004,10980700
2015-11-27,123.849998,126.389999,123.589996,125.440002,125.440002,6645500
2015-11-30,126.029999,126.599998,122.889999,123.33000200000001,123.33000200000001,13894000
2015-12-01,124.470001,125.57,122.41999799999999,125.370003,125.370003,12550800
2015-12-02,125.529999,131.350006,124.93,128.929993,128.929993,24105700
2015-12-03,129.619995,132.199997,126.389999,126.809998,126.809998,26647300
2015-12-04,127.0,130.990005,125.75,130.929993,130.929993,20250400
2015-12-07,131.190002,133.270004,122.75,125.360001,125.360001,23351600
2015-12-08,121.510002,128.240005,121.099998,126.980003,126.980003,18591100
2015-12-09,127.699997,128.779999,122.33000200000001,124.199997,124.199997,17788800
2015-12-10,124.5,125.209999,121.620003,122.910004,122.910004,13437500
2015-12-11,121.449997,123.0,118.599998,118.910004,118.910004,16105300
2015-12-14,119.769997,120.900002,114.660004,120.66999799999999,120.66999799999999,18679300
2015-12-15,121.93,123.300003,118.540001,118.599998,118.599998,11760000
2015-12-16,119.800003,123.0,118.089996,122.639999,122.639999,13181000
2015-12-17,123.970001,126.349998,122.41999799999999,122.510002,122.510002,17284900
2015-12-18,120.849998,122.190002,117.91999799999999,118.019997,118.019997,17948100
2015-12-21,119.510002,119.589996,115.660004,116.629997,116.629997,11670000
2015-12-22,117.300003,117.43,114.860001,116.239998,116.239998,9660900
2015-12-23,116.910004,118.559998,115.779999,118.160004,118.160004,9324300
2015-12-24,118.220001,118.800003,117.300003,117.33000200000001,117.33000200000001,3541400
2015-12-28,117.260002,117.349998,113.849998,117.110001,117.110001,8406300
2015-12-29,118.190002,119.599998,116.91999799999999,119.120003,119.120003,8159200
2015-12-30,118.949997,119.019997,116.43,116.709999,116.709999,8149700
2015-12-31,116.209999,117.459999,114.279999,114.379997,114.379997,9273000
2016-01-04,109.0,110.0,105.209999,109.959999,109.959999,20794800
2016-01-05,110.449997,110.58000200000001,105.849998,107.660004,107.660004,17664600
2016-01-06,105.290001,117.910004,104.959999,117.68,117.68,33045700
2016-01-07,116.360001,122.18,112.290001,114.559998,114.559998,33636700
