RESULT_COUNT: 20,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1,IDENTIFIER: SNE
DATE,BETA
2017-08-31,1.4003
2017-07-31,1.3684
2017-06-30,1.3503
2017-05-31,1.3429
2017-04-28,1.3314
2017-03-31,1.3056
2017-02-28,1.3156
2017-01-31,1.3366
2016-12-30,1.3352
2016-11-30,1.2995
2016-10-31,1.4993
2016-09-30,1.5114
2016-08-31,1.563
2016-07-29,1.5905
2016-06-30,1.6311
2016-05-31,1.6837
2016-04-29,1.6501
2016-03-31,1.8088
2016-02-29,1.5024
2016-01-29,2.0842
